,age,job,marital,education,default,housing,loan,contact,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,y_proba
26578,55,Professional,married,Degree,no,yes,no,1,3,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0.1
12116,41,Unskilled,married,Basic,unknown,no,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,0,0.1
38234,42,Professional,single,Degree,no,no,no,1,2,0,nonexistent,-3.4,92.431,-26.9,0.743,5017.5,1,0.6
35718,34,Service,married,Degree,no,yes,no,1,2,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,0.42
40038,41,Service,divorced,Degree,no,yes,no,1,1,2,success,-1.7,94.215,-40.3,0.793,4991.6,1,1.0
32491,37,Unskilled,married,Basic,no,yes,yes,1,2,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0,0.1
34696,35,Unskilled,married,Basic,unknown,no,yes,0,1,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,0.0
39263,58,Retired,married,Degree,no,yes,no,1,2,1,failure,-1.8,93.369,-34.8,0.646,5008.7,0,0.3
37288,43,Professional,divorced,Degree,no,no,no,0,1,0,nonexistent,-2.9,92.201,-31.4,0.884,5076.2,0,0.2
16883,29,Professional,married,Mid,no,yes,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.1
20410,52,Service,married,Degree,no,yes,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,0.0
39522,71,Retired,married,Basic,no,no,no,1,3,0,nonexistent,-1.8,93.749,-34.6,0.645,5008.7,0,0.6
31842,43,Professional,single,Degree,no,yes,no,0,2,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0,0.0
16315,30,Service,single,Degree,no,yes,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0.0
2174,41,Unskilled,divorced,Basic,no,yes,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
4144,39,Service,married,Mid,unknown,no,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.0
17505,53,Unemployed,married,Basic,unknown,yes,no,1,3,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
6612,27,Service,married,Mid,no,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
6346,35,Unskilled,married,Basic,unknown,yes,no,0,13,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
26338,36,Unemployed,married,Basic,no,yes,no,1,2,1,failure,-0.1,93.2,-42.0,4.076,5195.8,0,0.0
28695,27,Unskilled,single,Basic,no,yes,no,1,2,1,failure,-1.8,93.075,-47.1,1.41,5099.1,0,0.0
38272,27,Service,single,unknown,no,no,no,1,1,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,0,0.55
2625,33,Service,divorced,Mid,no,no,no,0,4,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.0
30047,60,Unskilled,married,Degree,no,yes,no,1,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,1.0
499,51,Service,married,Basic,unknown,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
27720,31,Service,single,Degree,no,no,yes,0,2,0,nonexistent,-1.8,92.843,-50.0,1.811,5099.1,0,0.3
5572,42,Unskilled,married,Basic,no,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.1
1453,41,Unskilled,married,Mid,no,no,yes,0,5,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0.0
23677,45,Service,married,Degree,no,yes,yes,1,4,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,0.0
29701,38,Service,single,Degree,no,unknown,unknown,1,2,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.4
37068,32,Service,single,Degree,no,yes,no,1,5,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,1,0.6
3855,23,Service,married,Mid,no,no,no,0,3,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.2
30703,33,Service,married,Mid,unknown,no,no,1,1,1,failure,-1.8,92.893,-46.2,1.344,5099.1,0,0.1
36824,24,Student,single,unknown,no,yes,no,1,1,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1,0.0
31025,36,Unskilled,married,Mid,no,yes,no,0,2,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0,0.0
40611,75,Retired,married,Mid,no,no,no,0,9,1,failure,-1.1,94.199,-37.5,0.883,4963.6,0,0.3
39960,32,Unskilled,single,Mid,no,no,no,1,1,2,success,-1.7,94.055,-39.8,0.754,4991.6,1,0.6
4855,29,Unskilled,married,Mid,no,yes,yes,0,2,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.0
13302,36,Service,married,Degree,no,yes,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.1
12728,26,Service,married,Degree,no,no,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,0.0
36489,36,Service,married,Degree,no,no,no,1,1,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0,0.9
18491,39,Service,married,Mid,no,yes,no,1,3,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0,0.2
35182,51,Unskilled,married,Mid,unknown,no,no,1,1,1,failure,-1.8,92.893,-46.2,1.25,5099.1,1,0.2
16156,35,Unskilled,married,Degree,no,unknown,unknown,1,2,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0.0
27164,40,Unskilled,divorced,Mid,no,no,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,0.0
37596,26,Service,single,Degree,no,yes,no,1,1,0,nonexistent,-2.9,92.201,-31.4,0.861,5076.2,0,0.7
9712,42,Unskilled,married,Mid,no,no,no,0,2,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.0
36530,21,Service,single,Mid,no,yes,no,1,1,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0,0.1
40791,26,Professional,single,Degree,no,yes,no,1,1,4,success,-1.1,94.199,-37.5,0.878,4963.6,0,0.7
35844,39,Service,single,Degree,no,yes,no,1,1,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,0,0.1
15956,37,Unskilled,single,Mid,no,no,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,0.0
12895,25,Service,single,Mid,no,no,yes,1,2,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.2
75,41,Unskilled,divorced,Basic,unknown,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,0.0
10656,43,Unemployed,married,Mid,unknown,yes,no,0,4,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.0
26923,41,Service,married,Degree,no,no,yes,1,3,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0.0
3719,33,Unskilled,single,Mid,no,yes,no,0,3,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.0
24294,50,Service,married,Mid,no,no,no,1,1,1,failure,-0.1,93.2,-42.0,4.191,5195.8,0,0.1
12871,37,Service,married,Degree,no,no,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
26991,45,Unskilled,married,Basic,no,yes,no,1,3,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0.0
17313,39,Service,married,Degree,no,no,no,1,4,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.0
23542,41,Service,married,Degree,no,yes,no,1,10,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,0.0
20417,45,Service,married,Degree,no,no,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,0.0
34318,28,Professional,married,Mid,no,yes,no,1,6,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,0.425
31072,34,Service,single,Mid,no,yes,no,1,1,1,success,-1.8,92.893,-46.2,1.334,5099.1,1,0.3
6705,47,Unskilled,married,Basic,no,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.1
25423,30,Unskilled,married,Basic,no,yes,no,1,2,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0.0
17537,44,Service,divorced,Mid,no,yes,no,1,5,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
311,27,Service,single,Degree,no,no,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
5227,54,Service,single,Degree,unknown,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
19951,35,Service,married,Degree,no,yes,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,0.0
5893,47,Unskilled,married,Mid,no,yes,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
35387,33,Service,single,Degree,no,no,no,1,3,1,failure,-1.8,92.893,-46.2,1.25,5099.1,0,0.2
40702,82,Retired,married,Degree,unknown,no,no,1,3,4,success,-1.1,94.199,-37.5,0.879,4963.6,0,0.6
32469,35,Service,married,Mid,no,yes,no,1,4,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0,0.1
30377,30,Service,single,Degree,no,yes,yes,0,2,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.1
26131,45,Unskilled,married,Mid,unknown,yes,no,1,2,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0.0
35629,34,Unskilled,married,Mid,no,yes,no,1,1,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,0.0
10915,25,Unskilled,married,Basic,no,no,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0,0.1
7809,33,Service,single,Basic,no,yes,no,0,2,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,0.0
37224,46,Unskilled,married,Mid,no,yes,no,1,1,0,nonexistent,-2.9,92.201,-31.4,0.881,5076.2,0,0.9
24404,45,Unskilled,divorced,Mid,unknown,yes,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,0.0
24753,39,Professional,married,Degree,no,no,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,0.1
17781,34,Unskilled,married,Degree,no,no,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0.0
7718,41,Service,married,Degree,no,no,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,0.0
17002,30,Unskilled,married,Basic,no,yes,no,0,6,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
26982,45,Service,divorced,Degree,no,yes,no,1,4,1,failure,-0.1,93.2,-42.0,4.076,5195.8,0,0.0
36132,31,Unskilled,married,Basic,no,no,no,1,1,1,failure,-1.8,92.893,-46.2,1.27,5099.1,0,0.0
25131,43,Professional,married,Degree,no,no,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,0.0
12068,27,Service,single,Degree,no,yes,yes,0,1,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,0,0.1
6100,37,Service,married,Degree,no,no,no,0,16,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
23269,36,Service,married,Degree,no,yes,no,1,5,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.1
25485,36,Service,married,Degree,no,no,no,1,4,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0.0
7201,45,Service,married,Mid,no,yes,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0.0
33219,33,Unskilled,married,Mid,unknown,no,no,0,6,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0,0.1
10586,45,Service,married,Degree,no,yes,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.0
28573,21,Service,single,Mid,no,yes,no,1,1,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0,0.3
4183,52,Professional,married,Degree,unknown,yes,no,0,4,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.0
39739,28,Service,married,Mid,no,no,yes,1,2,0,nonexistent,-1.8,93.876,-40.0,0.697,5008.7,1,0.6
3933,38,Unskilled,married,Mid,no,yes,yes,0,1,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.0
39363,57,Unskilled,married,Mid,no,no,no,1,1,0,nonexistent,-1.8,93.369,-34.8,0.636,5008.7,0,0.4
8256,29,Service,single,Mid,unknown,no,yes,0,2,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0.0
28936,34,Professional,married,Degree,no,yes,no,1,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.1
6401,59,Retired,divorced,Basic,no,no,no,0,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
6824,26,Unskilled,single,Mid,unknown,yes,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
18560,33,Service,divorced,Mid,no,no,yes,1,3,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0,0.1
438,47,Service,divorced,Degree,no,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
21578,32,Service,married,Degree,no,yes,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.0
8904,54,Service,married,Degree,no,yes,yes,0,2,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0,0.0
30655,58,Service,divorced,Mid,unknown,yes,no,1,6,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0,0.0
19244,32,Service,single,Degree,no,yes,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0,0.0
2969,39,Unskilled,married,Mid,no,yes,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.0
5757,29,Unskilled,married,Basic,no,yes,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
15865,22,Unskilled,single,unknown,unknown,no,no,0,4,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,0.0
20934,29,Service,single,Mid,no,no,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.0
27352,32,Service,single,Degree,no,yes,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,0.1
35338,26,Professional,married,Degree,no,no,no,0,10,2,failure,-1.8,92.893,-46.2,1.25,5099.1,0,0.1
34768,38,Professional,married,Degree,no,no,no,1,2,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0,0.0
29469,26,Service,married,Mid,no,yes,no,1,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.6
3979,57,Service,married,Degree,no,yes,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,1,0.1
5875,32,Unskilled,married,Mid,no,no,no,0,5,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
12962,41,Unskilled,married,unknown,no,no,yes,1,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.2
21178,38,Professional,single,Degree,no,no,no,1,2,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.0
36363,31,Unskilled,single,Mid,no,yes,yes,1,1,2,success,-2.9,92.963,-40.8,1.262,5076.2,1,0.7
36052,36,Service,married,Mid,no,no,no,0,1,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,1,0.0
26748,35,Service,single,Degree,no,yes,no,1,8,1,success,-0.1,93.2,-42.0,4.076,5195.8,0,0.1
33909,50,Unskilled,single,Degree,no,no,no,1,2,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,0.2
7468,26,Service,single,unknown,no,yes,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,0.0
22186,31,Service,divorced,Degree,no,no,yes,1,1,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.0
24737,55,Service,married,Degree,unknown,yes,yes,0,2,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,1,0.3
1072,57,Professional,divorced,Degree,no,no,no,0,3,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.0
8586,45,Professional,single,Mid,no,no,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0.0
30252,42,Service,married,Mid,no,yes,no,1,1,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.9
11321,31,Unskilled,married,Mid,no,no,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.0
40704,33,Service,married,Degree,no,no,no,0,1,1,failure,-1.1,94.199,-37.5,0.879,4963.6,0,0.3
34183,27,Unskilled,single,Basic,no,yes,no,0,3,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,0.0
6742,33,Service,married,Mid,no,no,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.1
16410,40,Service,married,Basic,unknown,yes,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.0
32458,39,Service,married,Mid,unknown,yes,yes,0,4,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0,0.0
11237,43,Service,married,Mid,unknown,yes,no,0,2,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.0
35592,33,Service,divorced,Degree,no,no,no,1,1,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,0.5
26127,31,Service,single,Degree,unknown,no,no,1,3,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0.0
9810,46,Service,married,Mid,no,yes,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,0.0
38630,33,Service,married,Degree,no,yes,no,0,4,0,nonexistent,-3.4,92.649,-30.1,0.722,5017.5,0,0.1
17581,47,Service,divorced,Mid,no,yes,no,1,19,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
29471,35,Service,married,Degree,no,yes,no,1,3,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0,0.0
16731,29,Service,single,Mid,no,no,no,1,29,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
23278,59,Retired,married,Degree,no,no,no,1,7,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.0
19820,45,Unskilled,married,Basic,no,no,no,1,2,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1,0.0
40185,32,Professional,single,Degree,no,no,no,1,2,1,failure,-1.7,94.215,-40.3,0.861,4991.6,0,0.4
21388,31,Service,single,Degree,unknown,no,no,1,6,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.0
40907,48,Service,married,Degree,no,yes,yes,1,1,1,success,-1.1,94.601,-49.5,0.977,4963.6,1,0.94
27984,33,Professional,single,Degree,no,yes,yes,1,1,0,nonexistent,-1.8,93.075,-47.1,1.498,5099.1,0,0.8
3000,35,Service,married,Degree,no,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.0
22305,45,Service,married,Mid,unknown,yes,no,1,3,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.0
1,57,Service,married,Mid,unknown,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
34751,39,Service,single,Mid,no,no,no,1,10,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,0.0
14528,39,Unskilled,married,unknown,unknown,yes,yes,1,4,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0.0
20920,35,Service,married,Degree,no,no,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.1
27154,50,Service,married,Mid,no,no,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,1,0.0
7321,27,Unskilled,married,Basic,unknown,no,no,0,7,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0.0
25050,52,Service,married,Mid,no,yes,no,0,1,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,0.1
9401,29,Service,married,Degree,no,no,no,0,4,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,0.0
30524,27,Unskilled,single,Mid,no,no,no,1,2,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0,0.3
1426,46,Unskilled,divorced,Basic,no,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0.0
29071,50,Professional,married,Degree,no,yes,no,0,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.2
27057,45,Service,divorced,Mid,no,no,no,1,4,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,0.0
10575,35,Service,single,Degree,no,no,no,0,2,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.0
39271,53,Service,married,Degree,no,yes,yes,1,1,1,failure,-1.8,93.369,-34.8,0.646,5008.7,0,0.2
31121,30,Unskilled,divorced,Mid,unknown,no,no,1,1,1,failure,-1.8,92.893,-46.2,1.334,5099.1,1,0.2
19492,48,Unskilled,married,Basic,unknown,no,yes,1,1,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0,0.0
13687,30,Professional,single,Degree,no,no,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.225
9738,52,Professional,married,Mid,unknown,yes,no,0,2,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.0
25813,39,Service,single,Degree,no,yes,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0.0
31974,30,Unskilled,married,Basic,no,yes,no,1,2,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0,0.0
1656,35,Unskilled,married,Mid,no,no,no,0,3,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0.0
26243,56,Professional,married,Degree,unknown,no,no,1,2,1,success,-0.1,93.2,-42.0,4.076,5195.8,0,0.0
26603,31,Service,single,Mid,no,yes,no,1,2,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0.0
7325,35,Unskilled,single,Degree,no,yes,yes,0,3,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,0.0
32405,34,Service,married,Degree,no,yes,no,1,2,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0,0.0
40090,59,Retired,divorced,Basic,no,no,no,1,2,0,nonexistent,-1.7,94.215,-40.3,0.827,4991.6,0,0.9
1034,44,Professional,married,Degree,no,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.0
13857,24,Student,single,Basic,no,no,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.0
36149,20,Student,single,Mid,no,yes,no,1,1,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,0,0.3
37808,43,Service,married,Mid,no,yes,no,1,2,2,success,-2.9,92.201,-31.4,0.838,5076.2,1,0.65
29698,33,Service,married,Mid,no,no,no,1,2,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0,0.0
21030,30,Service,single,Degree,no,yes,yes,1,3,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.0
896,33,Unskilled,married,Mid,no,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.0
35374,27,Service,married,Degree,no,yes,no,1,3,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0,0.0
2877,35,Service,married,Degree,no,no,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.0
5321,27,Unskilled,married,unknown,no,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
37012,33,Professional,married,Degree,no,yes,no,1,1,0,nonexistent,-2.9,92.469,-33.6,1.044,5076.2,1,0.2
23163,35,Service,married,Degree,no,no,no,1,4,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.0
2907,35,Professional,married,Degree,no,yes,yes,0,1,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.0
32807,44,Unskilled,married,Mid,unknown,yes,no,1,2,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0,0.0
39186,85,Retired,single,Degree,no,no,no,1,7,2,success,-1.8,93.369,-34.8,0.653,5008.7,0,0.6
18123,41,Service,divorced,Mid,no,no,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.4
27590,30,Service,single,Degree,no,no,no,1,2,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,1,0.0
20883,34,Service,married,Degree,no,yes,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.135
34210,43,Unskilled,married,Mid,no,yes,no,1,3,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,0.1
10008,42,Unskilled,married,Basic,no,no,no,0,7,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,0.1
8317,49,Unskilled,married,Basic,no,no,no,0,5,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0.0
13059,34,Unskilled,married,Mid,unknown,yes,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
8238,44,Service,single,Degree,no,no,yes,0,1,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0.8
38876,72,Retired,married,Mid,no,no,no,1,1,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,1,0.4
27217,50,Service,married,Degree,no,no,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,0.1
40589,47,Professional,married,Degree,no,no,no,1,1,2,success,-1.1,94.199,-37.5,0.884,4963.6,1,1.0
33843,51,Unskilled,divorced,Mid,no,yes,no,1,4,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0,0.1
14381,27,Service,single,Mid,no,yes,yes,0,5,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.1
29313,41,Service,single,unknown,unknown,yes,no,1,2,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.0
1675,60,Retired,married,Degree,unknown,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0.1
21668,30,Service,single,Degree,no,no,yes,1,4,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.0
34863,28,Unskilled,married,Mid,no,yes,no,1,5,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0,0.0
14006,45,Professional,married,unknown,no,yes,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.0
5881,57,Service,married,Degree,unknown,no,yes,0,5,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
39350,34,Unskilled,single,unknown,no,no,no,1,2,0,nonexistent,-1.8,93.369,-34.8,0.636,5008.7,0,0.2
32170,31,Professional,single,Degree,no,no,no,1,1,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0,0.2
2231,31,Service,married,Degree,no,no,no,0,5,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
30918,36,Professional,married,Mid,no,no,no,1,1,1,failure,-1.8,92.893,-46.2,1.344,5099.1,0,0.0
6914,36,Unskilled,single,Basic,unknown,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0.0
33520,38,Service,married,Mid,no,yes,yes,1,3,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0,0.0
34725,33,Unskilled,married,Basic,no,yes,no,1,4,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,0.0
13,57,Unskilled,divorced,Basic,no,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.2
2814,29,Service,divorced,Mid,no,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.0
